gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
KRAS	HRD-Dup	gain	17	37	32	84	1.2060810810810811	0.5915943587289646	1.0	False
KRAS	HRD-Dup	loss	2	52	6	110	0.7051282051282052	1.0	1.0	False
FANCA	HRD-Dup	gain	2	52	1	115	4.423076923076923	0.23718363084877903	0.7173358591524049	False
FANCA	HRD-Dup	loss	24	30	58	58	0.8	0.5146528682907576	1.0	False
BRIP1	HRD-Dup	gain	6	48	11	105	1.1931818181818181	0.7861108044175737	1.0	False
BRIP1	HRD-Dup	loss	14	40	34	82	0.8441176470588235	0.716581528077125	1.0	False
MDM2	HRD-Dup	gain	5	49	11	105	0.974025974025974	0.999999999999997	1.0	False
MDM2	HRD-Dup	loss	8	46	7	109	2.7080745341614905	0.08070573893825111	0.44477829459302837	False
FANCC	HRD-Dup	gain	3	51	3	113	2.215686274509804	0.38339138680038104	0.8886080740793878	False
FANCC	HRD-Dup	loss	13	41	37	79	0.6769940672379697	0.3669965709760416	0.8836422291461972	False
FANCG	HRD-Dup	gain	6	48	11	105	1.1931818181818181	0.7861108044175737	1.0	False
FANCG	HRD-Dup	loss	9	45	21	95	0.9047619047619048	0.9999999999999529	1.0	False
RFWD3	HRD-Dup	gain	3	51	2	114	3.3529411764705883	0.32795385688785506	0.8133255650818806	False
RFWD3	HRD-Dup	loss	30	24	62	54	1.0887096774193548	0.8692132441694458	1.0	False
TP53	HRD-Dup	gain	0	54	1	115	0.0	1.0	1.0	False
TP53	HRD-Dup	loss	38	16	61	55	2.1413934426229506	0.03109157507552051	0.21418640607580794	False
PALB2	HRD-Dup	gain	2	52	6	110	0.7051282051282052	1.0	1.0	False
PALB2	HRD-Dup	loss	4	50	21	95	0.3619047619047619	0.10156094962850135	0.5140227654667007	False
FANCL	HRD-Dup	gain	7	47	14	102	1.0851063829787233	0.9999999999999157	1.0	False
FANCL	HRD-Dup	loss	2	52	2	114	2.1923076923076925	0.5924761287429166	1.0	False
RAD51	HRD-Dup	gain	1	53	2	114	1.0754716981132075	0.9999999999999624	1.0	False
RAD51	HRD-Dup	loss	23	31	43	73	1.2595648912228057	0.5036881024386661	1.0	False
UBE2T	HRD-Dup	gain	6	48	30	86	0.35833333333333334	0.02844932182338939	0.20567820415798707	False
UBE2T	HRD-Dup	loss	7	47	1	115	17.127659574468087	0.0014745863962791102	0.045039332922512915	True
PIK3CA	HRD-Dup	gain	29	25	62	54	1.0103225806451612	0.9999999999999797	1.0	False
PIK3CA	HRD-Dup	loss	3	51	3	113	2.215686274509804	0.38339138680038104	0.8886080740793878	False
RB1	HRD-Dup	gain	0	54	5	111	0.0	0.17957933390322436	0.6272630254647836	False
RB1	HRD-Dup	loss	39	15	49	67	3.5551020408163265	0.0002873645529141156	0.02623109489433343	True
MYC	HRD-Dup	gain	44	10	63	53	3.7015873015873018	0.0006180764331611775	0.02623109489433343	True
MYC	HRD-Dup	loss	1	53	1	115	2.169811320754717	0.5356769926905652	1.0	False
FANCF	HRD-Dup	gain	1	53	2	114	1.0754716981132075	0.9999999999999624	1.0	False
FANCF	HRD-Dup	loss	21	33	28	88	2.0	0.06817673178015247	0.39026208826270514	False
FANCB	HRD-Dup	gain	0	54	5	111	0.0	0.17957933390322436	0.6272630254647836	False
FANCB	HRD-Dup	loss	24	30	65	51	0.6276923076923077	0.1880173033960146	0.6387437156467345	False
MAP3K1	HRD-Dup	gain	0	54	1	115	0.0	1.0	1.0	False
MAP3K1	HRD-Dup	loss	26	28	49	67	1.2696793002915452	0.5093320291966279	1.0	False
MAD2L2	HRD-Dup	gain	5	49	8	108	1.3775510204081634	0.5537225225408305	1.0	False
MAD2L2	HRD-Dup	loss	16	38	18	98	2.2923976608187133	0.040020987009669544	0.2682487777945418	False
BRCA2	HRD-Dup	gain	1	53	3	113	0.710691823899371	0.9999999999998974	1.0	False
BRCA2	HRD-Dup	loss	28	26	53	63	1.2801161103047896	0.5107862208855259	1.0	False
ERCC4	HRD-Dup	gain	4	50	5	111	1.776	0.46741296051225206	0.9992966741986079	False
ERCC4	HRD-Dup	loss	8	46	20	96	0.8347826086956521	0.8253855557950506	1.0	False
RAD51C	HRD-Dup	gain	3	51	11	105	0.5614973262032086	0.5521103403805858	1.0	False
RAD51C	HRD-Dup	loss	14	40	35	81	0.81	0.7163094684828096	1.0	False
GAPDH	HRD-Dup	gain	17	37	34	82	1.1081081081081081	0.8576340947541178	1.0	False
GAPDH	HRD-Dup	loss	2	52	9	107	0.45726495726495725	0.5056136780011641	1.0	False
XRCC2	HRD-Dup	gain	20	34	23	93	2.3785166240409206	0.022547429622557087	0.1928193981515227	False
XRCC2	HRD-Dup	loss	6	48	9	107	1.4861111111111112	0.5628684076076823	1.0	False
SLX4	HRD-Dup	gain	0	54	1	115	0.0	1.0	1.0	False
SLX4	HRD-Dup	loss	24	30	41	75	1.4634146341463414	0.3095119964427152	0.8082776951555076	False
BRCA1	HRD-Dup	gain	1	53	1	115	2.169811320754717	0.5356769926905652	1.0	False
BRCA1	HRD-Dup	loss	25	29	53	63	1.0247234873129474	0.9999999999999801	1.0	False
FANCE	HRD-Dup	gain	13	41	22	94	1.3547671840354767	0.5413692165754522	1.0	False
FANCE	HRD-Dup	loss	4	50	15	101	0.5386666666666666	0.43322358817649514	0.950791591750184	False
CCNE1	HRD-Dup	gain	5	49	35	81	0.23615160349854228	0.00316999936938525	0.0731013479733816	True
CCNE1	HRD-Dup	loss	1	53	3	113	0.710691823899371	0.9999999999998974	1.0	False
FANCD2	HRD-Dup	gain	5	49	1	115	11.73469387755102	0.012806074237428787	0.13849797748375953	False
FANCD2	HRD-Dup	loss	12	42	15	101	1.9238095238095239	0.17490787314821324	0.6272630254647836	False
FANCM	HRD-Dup	gain	6	48	2	114	7.125	0.013243550300941384	0.13849797748375953	False
FANCM	HRD-Dup	loss	7	47	15	101	1.0028368794326241	0.9999999999999636	1.0	False
FANCI	HRD-Dup	gain	14	40	11	105	3.340909090909091	0.00916831130699187	0.11368706020669919	False
FANCI	HRD-Dup	loss	9	45	31	85	0.5483870967741935	0.17685971048931226	0.6272630254647836	False
KRAS	HRD-Del	gain	6	24	43	97	0.563953488372093	0.274871345637456	0.7989188095954666	False
KRAS	HRD-Del	loss	3	27	5	135	3.0	0.14912739066739422	0.6232188201786887	False
FANCA	HRD-Del	gain	0	30	3	137	0.0	0.9999999999999605	1.0	False
FANCA	HRD-Del	loss	17	13	65	75	1.5088757396449703	0.3225055793386778	0.8082776951555076	False
BRIP1	HRD-Del	gain	4	26	13	127	1.5029585798816567	0.5062276515404234	1.0	False
BRIP1	HRD-Del	loss	9	21	39	101	1.10989010989011	0.8252166470473608	1.0	False
MDM2	HRD-Del	gain	1	29	15	125	0.28735632183908044	0.3103317914040381	0.8082776951555076	False
MDM2	HRD-Del	loss	2	28	13	127	0.6978021978021978	1.0	1.0	False
FANCC	HRD-Del	gain	1	29	5	135	0.9310344827586207	1.0	1.0	False
FANCC	HRD-Del	loss	8	22	42	98	0.8484848484848485	0.8270513149350811	1.0	False
FANCG	HRD-Del	gain	0	30	17	123	0.0	0.045122492609109645	0.2944836359752419	False
FANCG	HRD-Del	loss	6	24	24	116	1.2083333333333333	0.7919605259280575	1.0	False
RFWD3	HRD-Del	gain	0	30	5	135	0.0	0.5875566728313996	1.0	False
RFWD3	HRD-Del	loss	21	9	71	69	2.267605633802817	0.06924004791757672	0.39026208826270514	False
TP53	HRD-Del	gain	0	30	1	139	0.0	0.9999999999999825	1.0	False
TP53	HRD-Del	loss	21	9	78	62	1.8547008547008548	0.16065952696969352	0.6272630254647836	False
PALB2	HRD-Del	gain	5	25	3	137	9.133333333333333	0.004772095247147071	0.07889864141949823	True
PALB2	HRD-Del	loss	4	26	21	119	0.8717948717948718	0.9999999999999452	1.0	False
FANCL	HRD-Del	gain	4	26	17	123	1.1131221719457014	0.768196482189664	1.0	False
FANCL	HRD-Del	loss	0	30	4	136	0.0	0.9999999999999261	1.0	False
RAD51	HRD-Del	gain	0	30	3	137	0.0	0.9999999999999605	1.0	False
RAD51	HRD-Del	loss	7	23	59	81	0.41783345615327927	0.0644690735447215	0.3806745295021651	False
UBE2T	HRD-Del	gain	5	25	31	109	0.7032258064516129	0.6265753905933534	1.0	False
UBE2T	HRD-Del	loss	0	30	8	132	0.0	0.3531069936310711	0.867034994262432	False
PIK3CA	HRD-Del	gain	19	11	72	68	1.6313131313131313	0.3134796254719822	0.8082776951555076	False
PIK3CA	HRD-Del	loss	1	29	5	135	0.9310344827586207	1.0	1.0	False
RB1	HRD-Del	gain	1	29	4	136	1.1724137931034482	0.9999999999999811	1.0	False
RB1	HRD-Del	loss	19	11	69	71	1.77733860342556	0.22678019320110945	0.7030185989234393	False
MYC	HRD-Del	gain	18	12	89	51	0.8595505617977528	0.8352984474464243	1.0	False
MYC	HRD-Del	loss	0	30	2	138	0.0	0.9999999999999408	1.0	False
FANCF	HRD-Del	gain	0	30	3	137	0.0	0.9999999999999605	1.0	False
FANCF	HRD-Del	loss	10	20	39	101	1.294871794871795	0.6571811164644027	1.0	False
FANCB	HRD-Del	gain	5	25	0	140	inf	0.00012780414202940275	0.02623109489433343	True
FANCB	HRD-Del	loss	10	20	79	61	0.3860759493670886	0.02672373912612192	0.20567820415798707	False
MAP3K1	HRD-Del	gain	0	30	1	139	0.0	0.9999999999999825	1.0	False
MAP3K1	HRD-Del	loss	12	18	63	77	0.8148148148148148	0.6880090586245153	1.0	False
MAD2L2	HRD-Del	gain	2	28	11	129	0.8376623376623377	1.0	1.0	False
MAD2L2	HRD-Del	loss	6	24	28	112	1.0	0.9999999999998318	1.0	False
BRCA2	HRD-Del	gain	0	30	4	136	0.0	0.9999999999999261	1.0	False
BRCA2	HRD-Del	loss	23	7	58	82	4.645320197044335	0.0005264138123885182	0.02623109489433343	True
ERCC4	HRD-Del	gain	3	27	6	134	2.4814814814814814	0.19731668908945701	0.6534476131764329	False
ERCC4	HRD-Del	loss	4	26	24	116	0.7435897435897436	0.7883387527125538	1.0	False
RAD51C	HRD-Del	gain	6	24	8	132	4.125	0.019742319418622353	0.18831135445455166	False
RAD51C	HRD-Del	loss	9	21	40	100	1.0714285714285714	0.9999999999998644	1.0	False
GAPDH	HRD-Del	gain	5	25	46	94	0.40869565217391307	0.12269270148852308	0.58514980709911	False
GAPDH	HRD-Del	loss	6	24	5	135	6.75	0.00456323680632398	0.07889864141949823	True
XRCC2	HRD-Del	gain	8	22	35	105	1.0909090909090908	0.8205972957041092	1.0	False
XRCC2	HRD-Del	loss	6	24	9	131	3.638888888888889	0.028717430160775055	0.20567820415798707	False
SLX4	HRD-Del	gain	1	29	0	140	inf	0.1764705882352932	0.6272630254647836	False
SLX4	HRD-Del	loss	8	22	57	83	0.529505582137161	0.21377600876206113	0.6710943059872299	False
BRCA1	HRD-Del	gain	1	29	1	139	4.793103448275862	0.32265924121127115	0.8082776951555076	False
BRCA1	HRD-Del	loss	15	15	63	77	1.2222222222222223	0.6882612159108301	1.0	False
FANCE	HRD-Del	gain	5	25	30	110	0.7333333333333333	0.8035591984583392	1.0	False
FANCE	HRD-Del	loss	4	26	15	125	1.2820512820512822	0.749196514182128	1.0	False
CCNE1	HRD-Del	gain	5	25	35	105	0.6	0.47683980102650003	1.0	False
CCNE1	HRD-Del	loss	0	30	4	136	0.0	0.9999999999999261	1.0	False
FANCD2	HRD-Del	gain	0	30	6	134	0.0	0.5920560545823493	1.0	False
FANCD2	HRD-Del	loss	6	24	21	119	1.4166666666666667	0.5814181023681942	1.0	False
FANCM	HRD-Del	gain	2	28	6	134	1.5952380952380953	0.6319165059302194	1.0	False
FANCM	HRD-Del	loss	5	25	17	123	1.4470588235294117	0.5492072528066135	1.0	False
FANCI	HRD-Del	gain	5	25	20	120	1.2	0.7771919160777675	1.0	False
FANCI	HRD-Del	loss	3	27	37	103	0.30930930930930933	0.059965519319389086	0.3639314095949506	False
KRAS	FBI	gain	23	45	26	76	1.494017094017094	0.29986498117835647	0.8082776951555076	False
KRAS	FBI	loss	1	67	7	95	0.2025586353944563	0.14655030075604894	0.6232188201786887	False
FANCA	FBI	gain	0	68	3	99	0.0	0.27573964497039194	0.7989188095954666	False
FANCA	FBI	loss	27	41	55	47	0.5627494456762749	0.08512081139993333	0.4523799054774224	False
BRIP1	FBI	gain	6	62	11	91	0.8005865102639296	0.7969459111948334	1.0	False
BRIP1	FBI	loss	18	50	30	72	0.864	0.7300533703423274	1.0	False
MDM2	FBI	gain	7	61	9	93	1.185792349726776	0.7923222886793485	1.0	False
MDM2	FBI	loss	3	65	12	90	0.34615384615384615	0.16561298995598536	0.6272630254647836	False
FANCC	FBI	gain	1	67	5	97	0.28955223880597014	0.40367266770068283	0.9018992936015257	False
FANCC	FBI	loss	24	44	26	76	1.5944055944055944	0.17483620658869664	0.6272630254647836	False
FANCG	FBI	gain	9	59	8	94	1.7923728813559323	0.3002441164137974	0.8082776951555076	False
FANCG	FBI	loss	13	55	17	85	1.1818181818181819	0.6865516013119626	1.0	False
