gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
KRAS	FBI	gain	6	11	2	21	5.7272727272727275	0.05322245322245313	1.0	False
KRAS	FBI	loss	0	17	1	22	0.0	1.0	1.0	False
FANCA	FBI	gain	0	17	1	22	0.0	1.0	1.0	False
FANCA	FBI	loss	12	5	11	12	2.618181818181818	0.20244970220498512	1.0	False
BRIP1	FBI	gain	1	16	3	20	0.4166666666666667	0.6235036656089332	1.0	False
BRIP1	FBI	loss	6	11	9	14	0.8484848484848485	0.999999999999997	1.0	False
MDM2	FBI	gain	6	11	1	22	12.0	0.02946073603968354	1.0	False
MDM2	FBI	loss	0	17	4	19	0.0	0.12293467556625545	1.0	False
FANCC	FBI	gain	0	17	2	21	0.0	0.49871794871795005	1.0	False
FANCC	FBI	loss	5	12	4	19	1.9791666666666667	0.4560810810810831	1.0	False
FANCG	FBI	gain	2	15	2	21	1.4	1.0	1.0	False
FANCG	FBI	loss	5	12	6	17	1.1805555555555556	0.9999999999999979	1.0	False
RFWD3	FBI	gain	0	17	0	23	inf	1.0	1.0	False
RFWD3	FBI	loss	12	5	1	22	52.8	1.2025373538165522e-05	0.0029822926374650496	True
TP53	FBI	gain	0	17	1	22	0.0	1.0	1.0	False
TP53	FBI	loss	9	8	13	10	0.8653846153846154	0.9999999999999931	1.0	False
PALB2	FBI	gain	0	17	3	20	0.0	0.2480769230769247	1.0	False
PALB2	FBI	loss	4	13	5	18	1.1076923076923078	1.0	1.0	False
FANCL	FBI	gain	2	15	2	21	1.4	1.0	1.0	False
FANCL	FBI	loss	0	17	0	23	inf	1.0	1.0	False
RAD51	FBI	gain	0	17	1	22	0.0	1.0	1.0	False
RAD51	FBI	loss	8	9	9	14	1.382716049382716	0.7492482916732064	1.0	False
UBE2T	FBI	gain	6	11	3	20	3.6363636363636362	0.1337564284932714	1.0	False
UBE2T	FBI	loss	0	17	4	19	0.0	0.12293467556625545	1.0	False
PIK3CA	FBI	gain	7	10	9	14	1.0888888888888888	0.9999999999999999	1.0	False
PIK3CA	FBI	loss	0	17	0	23	inf	1.0	1.0	False
RB1	FBI	gain	0	17	1	22	0.0	1.0	1.0	False
RB1	FBI	loss	7	10	12	11	0.6416666666666667	0.5377807173135267	1.0	False
MYC	FBI	gain	6	11	16	7	0.23863636363636365	0.0534351481626228	1.0	False
MYC	FBI	loss	0	17	1	22	0.0	1.0	1.0	False
FANCF	FBI	gain	0	17	1	22	0.0	1.0	1.0	False
FANCF	FBI	loss	5	12	3	20	2.7777777777777777	0.2499155025470814	1.0	False
FANCB	FBI	gain	0	17	2	21	0.0	0.49871794871795005	1.0	False
FANCB	FBI	loss	10	7	9	14	2.2222222222222223	0.337485694816059	1.0	False
MAP3K1	FBI	gain	0	17	0	23	inf	1.0	1.0	False
MAP3K1	FBI	loss	6	11	11	12	0.5950413223140496	0.52536283781	1.0	False
MAD2L2	FBI	gain	1	16	3	20	0.4166666666666667	0.6235036656089332	1.0	False
MAD2L2	FBI	loss	1	16	6	17	0.17708333333333334	0.20548200021884377	1.0	False
BRCA2	FBI	gain	1	16	1	22	1.375	1.0	1.0	False
BRCA2	FBI	loss	5	12	8	15	0.78125	0.9999999999999982	1.0	False
ERCC4	FBI	gain	1	16	0	23	inf	0.42500000000000365	1.0	False
ERCC4	FBI	loss	0	17	6	17	0.0	0.029523653207863994	1.0	False
RAD51C	FBI	gain	3	14	3	20	1.4285714285714286	1.0	1.0	False
RAD51C	FBI	loss	4	13	9	14	0.47863247863247865	0.33256922105642883	1.0	False
GAPDH	FBI	gain	6	11	6	17	1.5454545454545454	0.7284640591648369	1.0	False
GAPDH	FBI	loss	1	16	2	21	0.65625	1.0	1.0	False
XRCC2	FBI	gain	3	14	6	17	0.6071428571428571	0.7071205821205846	1.0	False
XRCC2	FBI	loss	0	17	3	20	0.0	0.2480769230769247	1.0	False
