gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
KRAS	FBI	gain	29	56	28	97	1.7940051020408163	0.08158346019591722	0.500908632554944	False
KRAS	FBI	loss	1	84	9	116	0.15343915343915343	0.0515077903949801	0.3628957959646325	False
FANCA	FBI	gain	0	85	4	121	0.0	0.14879806184155317	0.6769393618399266	False
FANCA	FBI	loss	39	46	66	59	0.7579051383399209	0.39900632853465096	1.0	False
BRIP1	FBI	gain	7	78	14	111	0.7115384615384616	0.6403326900761533	1.0	False
BRIP1	FBI	loss	24	61	39	86	0.8675914249684742	0.7591782502586907	1.0	False
MDM2	FBI	gain	13	72	10	115	2.076388888888889	0.11659961621794247	0.6273692736664364	False
MDM2	FBI	loss	3	82	16	109	0.24923780487804878	0.026264678633611566	0.22510178645638862	False
FANCC	FBI	gain	1	84	7	118	0.20068027210884354	0.14651120094963732	0.6769393618399266	False
FANCC	FBI	loss	29	56	30	95	1.6398809523809523	0.11987055094089917	0.6273692736664364	False
FANCG	FBI	gain	11	74	10	115	1.7094594594594594	0.2513617979083993	0.8755298578831885	False
FANCG	FBI	loss	18	67	23	102	1.191434133679429	0.723163858832608	1.0	False
RFWD3	FBI	gain	0	85	5	120	0.0	0.0824075492267811	0.500908632554944	False
RFWD3	FBI	loss	40	45	77	48	0.5541125541125541	0.04744970231508047	0.34207924924825456	False
TP53	FBI	gain	0	85	2	123	0.0	0.5158350421508662	1.0	False
TP53	FBI	loss	40	45	81	44	0.4828532235939643	0.015352761779330096	0.16411572936525276	False
PALB2	FBI	gain	1	84	10	115	0.13690476190476192	0.030542399185085427	0.242772916599397	False
PALB2	FBI	loss	14	71	20	105	1.0352112676056338	1.0	1.0	False
FANCL	FBI	gain	11	74	14	111	1.1785714285714286	0.8285995982744854	1.0	False
FANCL	FBI	loss	0	85	4	121	0.0	0.14879806184155317	0.6769393618399266	False
RAD51	FBI	gain	1	84	3	122	0.48412698412698413	0.6486160673804381	1.0	False
RAD51	FBI	loss	36	49	47	78	1.219279201042119	0.5654513674954385	1.0	False
UBE2T	FBI	gain	27	58	18	107	2.7672413793103448	0.003463486915279344	0.059648941318699814	True
UBE2T	FBI	loss	0	85	12	113	0.0	0.001831020556341221	0.04612726643400536	True
PIK3CA	FBI	gain	39	46	68	57	0.7106777493606138	0.2612568141076194	0.8899957403666157	False
PIK3CA	FBI	loss	2	83	5	120	0.5783132530120482	0.70365986207958	1.0	False
RB1	FBI	gain	2	83	4	121	0.7289156626506024	1.0	1.0	False
RB1	FBI	loss	31	54	76	49	0.3701267056530214	0.0007095779060538223	0.03666152514611415	True
MYC	FBI	gain	38	47	91	34	0.3020808978255787	5.055945694700338e-05	0.01567343165357105	True
MYC	FBI	loss	0	85	3	122	0.0	0.2737525632262705	0.9028010063845091	False
FANCF	FBI	gain	2	83	2	123	1.4819277108433735	1.0	1.0	False
FANCF	FBI	loss	16	69	41	84	0.4750795334040297	0.02759312221078312	0.22510178645638862	False
FANCB	FBI	gain	0	85	7	118	0.0	0.04313934259392434	0.31840943343134626	False
FANCB	FBI	loss	55	30	53	72	2.490566037735849	0.0019277944317133183	0.04612726643400536	True
MAP3K1	FBI	gain	1	84	0	125	inf	0.4047619047618909	1.0	False
MAP3K1	FBI	loss	35	50	57	68	0.8350877192982457	0.57218601136494	1.0	False
MAD2L2	FBI	gain	4	81	13	112	0.4254510921177588	0.19759873934010347	0.7753874581700263	False
MAD2L2	FBI	loss	13	72	28	97	0.6254960317460317	0.2194924698263401	0.8100317338829217	False
BRCA2	FBI	gain	3	82	3	122	1.4878048780487805	0.6878482540321442	1.0	False
BRCA2	FBI	loss	27	58	67	58	0.40298507462686567	0.0019343692375550635	0.04612726643400536	True
ERCC4	FBI	gain	3	82	7	118	0.6167247386759582	0.7431504950396116	1.0	False
ERCC4	FBI	loss	11	74	23	102	0.6592244418331374	0.34284915719878417	1.0	False
RAD51C	FBI	gain	6	79	14	111	0.6021699819168174	0.3496985281348743	1.0	False
RAD51C	FBI	loss	24	61	38	87	0.9007765314926661	0.7602459876215376	1.0	False
GAPDH	FBI	gain	30	55	33	92	1.5206611570247934	0.1718275301730312	0.710220458048529	False
GAPDH	FBI	loss	3	82	11	114	0.37915742793791574	0.165335155816885	0.7098545047700576	False
